| STT | Tên Model | Trạng thái | Link tải PCL 6 (Direct .exe) | Ghi chú |
| :--- | :--- | :--- | :--- | :--- |
| 1 | IM C320F | ✅ Có driver | [Tải](https://support.ricoh.com/bb/pub_e/dr_ut_e/0001345/0001345550/V1400/z06071L1e.exe) | PCL 6 Driver (Win10/11 64-bit) |
| 2 | &#x9; IM 430F SE | ❌ Không có trang support | - | Không tìm thấy link support.ricoh.com |
| 3 | Aficio MP 1100 | ❌ Không có trang support | - | Không tìm thấy link support.ricoh.com |
| 4 | Aficio MP 1350 | ❌ Không có trang support | - | Không tìm thấy link support.ricoh.com |
| 5 | Aficio MP 1500 | ❌ Không có trang support | - | Không tìm thấy link support.ricoh.com |
| 6 | Aficio MP 1600 | ❌ Không có trang support | - | Không tìm thấy link support.ricoh.com |
| 7 | Aficio MP 1600L | ❌ Không có trang support | - | Không tìm thấy link support.ricoh.com |
| 8 | Aficio MP 1600L2 | ❌ Không có trang support | - | Không tìm thấy link support.ricoh.com |
| 9 | Aficio MP 161 | ❌ Không có trang support | - | Không tìm thấy link support.ricoh.com |
| 10 | Aficio MP 161F | ❌ Không có trang support | - | Không tìm thấy link support.ricoh.com |
| 11 | Aficio MP 161L | ❌ Không có trang support | - | Không tìm thấy link support.ricoh.com |
| 12 | Aficio MP 161LN | ❌ Không có trang support | - | Không tìm thấy link support.ricoh.com |
| 13 | Aficio MP 161SPF | ❌ Không có trang support | - | Không tìm thấy link support.ricoh.com |
| 14 | Aficio MP 171 | ❌ Không có trang support | - | Không tìm thấy link support.ricoh.com |
| 15 | Aficio MP 171F | ❌ Không có trang support | - | Không tìm thấy link support.ricoh.com |
| 16 | Aficio MP 171LN | ❌ Không có trang support | - | Không tìm thấy link support.ricoh.com |
| 17 | Aficio MP 171SPF | ❌ Không có trang support | - | Không tìm thấy link support.ricoh.com |
| 18 | Aficio MP 1900 | ❌ Không có trang support | - | Không tìm thấy link support.ricoh.com |
| 19 | Aficio MP 2000 | ❌ Không có trang support | - | Không tìm thấy link support.ricoh.com |
| 20 | Aficio MP 2000L | ❌ Không có trang support | - | Không tìm thấy link support.ricoh.com |
| 21 | Aficio MP 2000L2 | ❌ Không có trang support | - | Không tìm thấy link support.ricoh.com |
| 22 | Aficio MP 201F | ❌ Không có trang support | - | Không tìm thấy link support.ricoh.com |
| 23 | Aficio MP 201SPF | ❌ Không có trang support | - | Không tìm thấy link support.ricoh.com |
| 24 | Aficio MP 2352 | ❌ Không có trang support | - | Không tìm thấy link support.ricoh.com |
| 25 | Aficio MP 2500 | ❌ Không có trang support | - | Không tìm thấy link support.ricoh.com |
| 26 | Aficio MP 2500LN | ❌ Không có trang support | - | Không tìm thấy link support.ricoh.com |
| 27 | Aficio MP 2510 | ❌ Không có trang support | - | Không tìm thấy link support.ricoh.com |
| 28 | Aficio MP 2550 | ❌ Không có trang support | - | Không tìm thấy link support.ricoh.com |
| 29 | Aficio MP 2550B | ❌ Không có trang support | - | Không tìm thấy link support.ricoh.com |
| 30 | Aficio MP 2851 | ❌ Không có trang support | - | Không tìm thấy link support.ricoh.com |
| 31 | Aficio MP 2852 | ❌ Không có trang support | - | Không tìm thấy link support.ricoh.com |
| 32 | Aficio MP 3010 | ❌ Không có trang support | - | Không tìm thấy link support.ricoh.com |
| 33 | Aficio MP 301SP | ❌ Không có trang support | - | Không tìm thấy link support.ricoh.com |
| 34 | Aficio MP 301SPF | ❌ Không có trang support | - | Không tìm thấy link support.ricoh.com |
| 35 | Aficio MP 3350 | ❌ Không có trang support | - | Không tìm thấy link support.ricoh.com |
| 36 | Aficio MP 3350B | ❌ Không có trang support | - | Không tìm thấy link support.ricoh.com |
| 37 | Aficio MP 3351 | ❌ Không có trang support | - | Không tìm thấy link support.ricoh.com |
| 38 | Aficio MP 3352 | ❌ Không có trang support | - | Không tìm thấy link support.ricoh.com |
| 39 | Aficio MP 3500 | ❌ Không có trang support | - | Không tìm thấy link support.ricoh.com |
| 40 | Aficio MP 4000 | ❌ Không có trang support | - | Không tìm thấy link support.ricoh.com |
| 41 | Aficio MP 4000B | ❌ Không có trang support | - | Không tìm thấy link support.ricoh.com |
| 42 | Aficio MP 4001 | ❌ Không có trang support | - | Không tìm thấy link support.ricoh.com |
| 43 | Aficio MP 4002/SP | ❌ Không có trang support | - | Không tìm thấy link support.ricoh.com |
| 44 | Aficio MP 4500 | ❌ Không có trang support | - | Không tìm thấy link support.ricoh.com |
| 45 | Aficio MP 5000 | ❌ Không có trang support | - | Không tìm thấy link support.ricoh.com |
| 46 | Aficio MP 5000B | ❌ Không có trang support | - | Không tìm thấy link support.ricoh.com |
| 47 | Aficio MP 5001 | ❌ Không có trang support | - | Không tìm thấy link support.ricoh.com |
| 48 | Aficio MP 5002/SP | ❌ Không có trang support | - | Không tìm thấy link support.ricoh.com |
| 49 | Aficio MP 5500 | ❌ Không có trang support | - | Không tìm thấy link support.ricoh.com |
| 50 | Aficio MP 6000 | ❌ Không có trang support | - | Không tìm thấy link support.ricoh.com |
| 51 | Aficio MP 6001 | ❌ Không có trang support | - | Không tìm thấy link support.ricoh.com |
| 52 | Aficio MP 6002 | ❌ Không có trang support | - | Không tìm thấy link support.ricoh.com |
| 53 | Aficio MP 6002SP | ❌ Không có trang support | - | Không tìm thấy link support.ricoh.com |
| 54 | Aficio MP 6500 | ❌ Không có trang support | - | Không tìm thấy link support.ricoh.com |
| 55 | Aficio MP 7000 | ❌ Không có trang support | - | Không tìm thấy link support.ricoh.com |
| 56 | Aficio MP 7001 | ❌ Không có trang support | - | Không tìm thấy link support.ricoh.com |
| 57 | Aficio MP 7500 | ❌ Không có trang support | - | Không tìm thấy link support.ricoh.com |
| 58 | Aficio MP 7502 | ❌ Không có trang support | - | Không tìm thấy link support.ricoh.com |
| 59 | Aficio MP 7502SP | ❌ Không có trang support | - | Không tìm thấy link support.ricoh.com |
| 60 | Aficio MP 9002 | ❌ Không có trang support | - | Không tìm thấy link support.ricoh.com |
| 61 | Aficio MP 9002SP | ❌ Không có trang support | - | Không tìm thấy link support.ricoh.com |
| 62 | Aficio MP C1500SP | ❌ Không có trang support | - | Không tìm thấy link support.ricoh.com |
| 63 | Aficio MP C2000 | ❌ Không có trang support | - | Không tìm thấy link support.ricoh.com |
| 64 | Aficio MP C2030 | ❌ Không có trang support | - | Không tìm thấy link support.ricoh.com |
