stt,model,status,PCL6,PCL6_Univ,PCL6_V4,PCL5,PS3,PS3_Univ,all_exe,support_url,note
1,IM C320F,OK,https://support.ricoh.com/bb/pub_e/dr_ut_e/0001345/0001345550/V1400/z06071L1e.exe,https://support.ricoh.com/bb/pub_e/dr_ut_e/0001344/0001344878/V44400/z06361L1f.exe,,https://support.ricoh.com/bb/pub_e/dr_ut_e/0001345/0001345716/V11100/z06359L17.exe,https://support.ricoh.com/bb/pub_e/dr_ut_e/0001342/0001342914/V1300/z05500Lc.exe,https://support.ricoh.com/bb/pub_e/dr_ut_e/0001344/0001344875/V44400/z06399L1f.exe,https://support.ricoh.com/bb/pub_e/dr_ut_e/0001345/0001345550/V1400/z06071L1e.exe | https://support.ricoh.com/bb/pub_e/dr_ut_e/0001344/0001344878/V44400/z06361L1f.exe | https://support.ricoh.com/bb/pub_e/dr_ut_e/0001345/0001345716/V11100/z06359L17.exe | https://support.ricoh.com/bb/pub_e/dr_ut_e/0001342/0001342914/V1300/z05500Lc.exe | https://support.ricoh.com/bb/pub_e/dr_ut_e/0001344/0001344875/V44400/z06399L1f.exe | https://support.ricoh.com/bb/pub_e/dr_ut_e/0001342/0001342637/V100/r02762L1b.exe | https://support.ricoh.com/bb/pub_e/dr_ut_e/0001345/0001345702/V23400/driver_web_installer.exe | https://support.ricoh.com/bb/pub_e/dr_ut_e/0001344/0001344157/V2500/PrinterDiagnosticTool_N4.exe | https://support.ricoh.com/bb/pub_e/dr_ut_e/0001344/0001344876/V1030/z04999en.exe | https://support.ricoh.com/bb/pub_e/dr_ut_e/0001345/0001345738/V58100/z06381L1b.exe | https://support.ricoh.com/bb/pub_e/dr_ut_e/0001345/0001345746/V20150/z06401L1b.exe | https://support.ricoh.com/bb/pub_e/dr_ut_e/0001345/0001345475/V58200/z05934L1b.exe | https://support.ricoh.com/bb/pub_e/dr_ut_e/0001345/0001345474/V58200/z05933L1b.exe | https://support.ricoh.com/bb/pub_e/dr_ut_e/0001345/0001345701/V15400/z06348L1a.exe,https://support.ricoh.com/bb/html/dr_ut_e/re2/model/imc320f/imc320fen.htm,OK
2,Aficio MP 1100,No support page,,,,,,,,,No support page
3,Aficio MP 1350,No support page,,,,,,,,,No support page
4,Aficio MP 1500,No support page,,,,,,,,,No support page
5,Aficio MP 1600,No support page,,,,,,,,,No support page
6,Aficio MP 1600L,No support page,,,,,,,,,No support page
7,Aficio MP 1600L2,No support page,,,,,,,,,No support page
8,Aficio MP 161,No support page,,,,,,,,,No support page
9,Aficio MP 161F,No support page,,,,,,,,,No support page
10,Aficio MP 161L,No support page,,,,,,,,,No support page
